epoch,train_loss,train_accuracy,train_auroc,train_f1,val_loss,val_accuracy,val_auroc,val_f1
0,0.015130364978967328,0.8969907164573669,0.9618294835090637,0.8923967480659485,0.014105699062854039,0.9637058973312378,0.9843754172325134,0.9649137258529663
1,0.013847059518659501,0.9604876041412354,0.9630061388015747,0.9617202281951904,0.013435654111026046,0.9655758738517761,0.9868584871292114,0.9666721820831299
2,0.013184352132290217,0.961606502532959,0.9631692171096802,0.9628267884254456,0.012744611614418191,0.9665108323097229,0.9877159595489502,0.9674891233444214
3,0.012507076433419853,0.9618862271308899,0.9634362459182739,0.9630787372589111,0.012075737185849061,0.9654908776283264,0.9884161353111267,0.9665733575820923
4,0.01180008758319035,0.9623286128044128,0.9637342691421509,0.9634961485862732,0.011354623691254456,0.9657458662986755,0.9878662824630737,0.9667957425117493
5,0.011073794576610913,0.9627059102058411,0.9640524387359619,0.9638504385948181,0.010614462550832421,0.9659583568572998,0.985137403011322,0.9670057892799377
6,0.010342786136132232,0.9627774357795715,0.9641658663749695,0.9639286994934082,0.009879458595274664,0.9657033681869507,0.9869455099105835,0.9667613506317139
7,0.009602869426827872,0.9630701541900635,0.9641057252883911,0.9642003774642944,0.00910793560593877,0.9665108323097229,0.9870765805244446,0.9674997925758362
8,0.008853899482066215,0.9635775685310364,0.964812695980072,0.9646979570388794,0.008372277518535642,0.9665108323097229,0.9865946769714355,0.9674997925758362
9,0.008152257945093002,0.9634409546852112,0.9646933674812317,0.9645774364471436,0.00773491268899154,0.9650658965110779,0.9826470613479614,0.9661811590194702
