epoch,train_loss,train_accuracy,train_auroc,train_f1,val_loss,val_accuracy,val_auroc,val_f1
0,0.02097429329146174,0.5188389420509338,0.7772716283798218,0.11581036448478699,0.02062922216100081,0.5614109635353088,0.7905123233795166,0.33539414405822754
1,0.020310162650717153,0.5904868245124817,0.7905299663543701,0.4155092239379883,0.020165434204868393,0.6236718893051147,0.7943434715270996,0.5188807249069214
2,0.019966689665762784,0.6353139281272888,0.791658341884613,0.5426839590072632,0.0199095595316131,0.6615809798240662,0.8002916574478149,0.6028627157211304
3,0.019769873342211353,0.6641318202018738,0.7988624572753906,0.6058491468429565,0.019699995260870917,0.6900127530097961,0.8087795972824097,0.6546074748039246
4,0.019613981186073368,0.6863404512405396,0.8067685961723328,0.6467645168304443,0.019526748785403145,0.7125796675682068,0.8166161775588989,0.6912858486175537
5,0.01948969239132369,0.7029221057891846,0.8134233355522156,0.6756165623664856,0.019375815864729973,0.7277942895889282,0.8238241672515869,0.7147374153137207
6,0.01936808601806936,0.7179295420646667,0.8199179768562317,0.699109673500061,0.019240421535509776,0.7399489879608154,0.8301309943199158,0.7325261235237122
7,0.019267426606397874,0.7294371724128723,0.8252830505371094,0.7171343564987183,0.01912021593646298,0.7504887580871582,0.8355635404586792,0.7478201389312744
8,0.01916743364354827,0.7392730116844177,0.830194354057312,0.7320353388786316,0.019014467784712986,0.7574160695075989,0.8399608731269836,0.7587489485740662
9,0.019081376684132005,0.747391402721405,0.8340930342674255,0.7441526651382446,0.018920982310835777,0.7648958563804626,0.8436837196350098,0.7691537737846375
