epoch,train_loss,train_accuracy,train_auroc,train_f1,val_loss,val_accuracy,val_auroc,val_f1
0,0.019675552363818294,0.5506296753883362,0.9546558856964111,0.20192474126815796,0.01900336120770021,0.6997025012969971,0.9525449275970459,0.5974247455596924
1,0.018725809400712126,0.757461428642273,0.9401887655258179,0.7065916061401367,0.018016082280197906,0.9118146896362305,0.942213773727417,0.9128407835960388
2,0.017884141587732747,0.8967695236206055,0.9319568872451782,0.8994531631469727,0.01729901719741805,0.9203144907951355,0.9397960901260376,0.9253968596458435
3,0.017372395671402547,0.9022989273071289,0.9301306009292603,0.9098775386810303,0.01684958234245707,0.9055673480033875,0.9433625936508179,0.9133453369140625
4,0.017032159792240386,0.8923395276069641,0.9350727200508118,0.9024059176445007,0.016537421944290337,0.8959625959396362,0.9492980241775513,0.9055700898170471
5,0.01678297589655047,0.8851643204689026,0.9420943260192871,0.8967968821525574,0.01630541334697352,0.8896727561950684,0.9549018144607544,0.9004753828048706
6,0.016591837906278502,0.8798105716705322,0.9481426477432251,0.8925564289093018,0.016128364323151147,0.8841903805732727,0.9596422910690308,0.8960915207862854
7,0.016448200390117795,0.8763303160667419,0.9534224271774292,0.8898366093635559,0.01598755538564918,0.8808754682540894,0.9637411236763,0.8934342265129089
8,0.0163243638119353,0.8735330700874329,0.9578169584274292,0.8876418471336365,0.015875463508769293,0.8782405257225037,0.9670648574829102,0.891349732875824
9,0.016222245431723997,0.8710871338844299,0.9612984657287598,0.8857316374778748,0.015784352770826435,0.8773055672645569,0.9697209596633911,0.8905983567237854
