epoch,train_loss,train_accuracy,train_auroc,train_f1,val_loss,val_accuracy,val_auroc,val_f1
0,0.0197724757560916,0.5701256990432739,0.9495482444763184,0.27198413014411926,0.019132723934438652,0.7055248618125916,0.9393334984779358,0.6165680289268494
1,0.018850604400675774,0.778121829032898,0.9244652986526489,0.7457396984100342,0.01836858101717928,0.8942201733589172,0.9239912033081055,0.8969485759735107
2,0.01828713102372772,0.8785290718078613,0.9141695499420166,0.8835782408714294,0.017921589836129927,0.9090522527694702,0.9250969886779785,0.915860652923584
3,0.017966944286662036,0.8912336230278015,0.9189049005508423,0.9004002809524536,0.017595468991571824,0.9020824432373047,0.9326983690261841,0.9105173349380493
4,0.01773310719696086,0.886680006980896,0.927470326423645,0.8977375626564026,0.01735158567473172,0.8943476676940918,0.9402648210525513,0.904259443283081
5,0.017545223934012484,0.8796544671058655,0.9355968236923218,0.8923492431640625,0.017165745568690886,0.8864428400993347,0.9463825225830078,0.8978670835494995
6,0.017410886588845355,0.8737087249755859,0.9415280818939209,0.887714147567749,0.017019828808241787,0.8821079730987549,0.9515454769134521,0.8944364190101624
7,0.017299305096538906,0.8691356182098389,0.9464645385742188,0.8841713666915894,0.016907886843503004,0.8779430389404297,0.9552195072174072,0.8911131620407104
8,0.01720947372428998,0.8652194738388062,0.9500681161880493,0.8811336755752563,0.01681748113123549,0.8747981190681458,0.9580515027046204,0.8886368870735168
9,0.017139229560466956,0.8622270822525024,0.9530857801437378,0.8788352608680725,0.016740212819700895,0.8718231916427612,0.9604367017745972,0.8862916827201843
